Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
12:00:00 AM,16,Monday,15,1,0,37,53,normal
12:15:00 AM,16,Monday,11,0,0,23,34,normal
12:30:00 AM,16,Monday,7,1,2,22,32,normal
12:45:00 AM,16,Monday,14,1,0,36,51,normal
1:00:00 AM,16,Monday,12,2,2,36,52,normal
1:15:00 AM,16,Monday,6,1,1,38,46,normal
1:30:00 AM,16,Monday,8,2,1,34,45,normal
1:45:00 AM,16,Monday,14,0,2,32,48,normal
2:00:00 AM,16,Monday,6,1,1,21,29,normal
2:15:00 AM,16,Monday,13,1,2,36,52,normal
2:30:00 AM,16,Monday,9,2,0,39,50,normal
2:45:00 AM,16,Monday,6,1,1,37,45,normal
3:00:00 AM,16,Monday,8,2,1,27,38,normal
3:15:00 AM,16,Monday,7,1,2,23,33,normal
3:30:00 AM,16,Monday,5,1,1,21,28,normal
3:45:00 AM,16,Monday,5,2,1,35,43,normal
4:00:00 AM,16,Monday,63,10,5,13,91,low
4:15:00 AM,16,Monday,72,3,2,13,90,low
4:30:00 AM,16,Monday,56,5,7,24,92,normal
4:45:00 AM,16,Monday,83,0,6,14,103,low
5:00:00 AM,16,Monday,88,0,2,15,105,low
5:15:00 AM,16,Monday,55,9,2,14,80,low
5:30:00 AM,16,Monday,86,1,4,11,102,low
5:45:00 AM,16,Monday,81,25,12,5,123,normal
6:00:00 AM,16,Monday,104,18,14,9,145,normal
6:15:00 AM,16,Monday,101,30,22,15,168,heavy
6:30:00 AM,16,Monday,123,30,20,8,181,heavy
6:45:00 AM,16,Monday,94,30,24,8,156,normal
7:00:00 AM,16,Monday,142,10,16,8,176,heavy
7:15:00 AM,16,Monday,108,11,22,8,149,normal
7:30:00 AM,16,Monday,100,25,19,5,149,normal
7:45:00 AM,16,Monday,84,25,24,5,138,normal
8:00:00 AM,16,Monday,125,19,23,7,174,heavy
8:15:00 AM,16,Monday,111,27,25,5,168,heavy
8:30:00 AM,16,Monday,110,21,23,5,159,normal
8:45:00 AM,16,Monday,94,26,20,15,155,normal
9:00:00 AM,16,Monday,55,10,5,8,78,low
9:15:00 AM,16,Monday,78,11,7,16,112,normal
9:30:00 AM,16,Monday,50,11,13,15,89,low
9:45:00 AM,16,Monday,63,14,27,14,118,high
10:00:00 AM,16,Monday,76,11,9,17,113,normal
10:15:00 AM,16,Monday,56,6,26,5,93,normal
10:30:00 AM,16,Monday,32,13,8,11,64,low
10:45:00 AM,16,Monday,47,7,8,29,91,normal
11:00:00 AM,16,Monday,30,9,0,31,70,normal
11:15:00 AM,16,Monday,46,2,4,31,83,normal
11:30:00 AM,16,Monday,52,2,5,29,88,normal
11:45:00 AM,16,Monday,20,3,12,29,64,normal
12:00:00 PM,16,Monday,47,2,10,28,87,normal
12:15:00 PM,16,Monday,28,10,11,34,83,normal
12:30:00 PM,16,Monday,54,2,11,26,93,normal
12:45:00 PM,16,Monday,20,6,1,34,61,normal
1:00:00 PM,16,Monday,53,13,7,15,88,low
1:15:00 PM,16,Monday,30,5,31,18,84,normal
1:30:00 PM,16,Monday,72,15,6,10,103,low
1:45:00 PM,16,Monday,69,5,35,23,132,high
2:00:00 PM,16,Monday,38,15,8,15,76,low
2:15:00 PM,16,Monday,41,8,5,14,68,low
2:30:00 PM,16,Monday,8,8,29,30,75,normal
2:45:00 PM,16,Monday,9,20,3,27,59,normal
3:00:00 PM,16,Monday,58,9,24,18,109,normal
3:15:00 PM,16,Monday,99,10,10,10,129,normal
3:30:00 PM,16,Monday,40,18,9,20,87,normal
3:45:00 PM,16,Monday,118,9,29,18,174,heavy
4:00:00 PM,16,Monday,104,27,15,10,156,normal
4:15:00 PM,16,Monday,131,29,15,18,193,heavy
4:30:00 PM,16,Monday,128,14,22,20,184,heavy
4:45:00 PM,16,Monday,110,18,19,14,161,normal
5:00:00 PM,16,Monday,116,26,22,18,182,heavy
5:15:00 PM,16,Monday,140,26,31,16,213,heavy
5:30:00 PM,16,Monday,141,27,23,16,207,heavy
5:45:00 PM,16,Monday,147,17,20,19,203,heavy
6:00:00 PM,16,Monday,137,23,25,10,195,heavy
6:15:00 PM,16,Monday,115,18,24,20,177,heavy
6:30:00 PM,16,Monday,83,3,12,27,125,normal
6:45:00 PM,16,Monday,55,9,5,10,79,low
7:00:00 PM,16,Monday,99,16,14,35,164,high
7:15:00 PM,16,Monday,57,16,8,26,107,normal
7:30:00 PM,16,Monday,65,11,17,28,121,normal
7:45:00 PM,16,Monday,52,1,14,35,102,normal
8:00:00 PM,16,Monday,60,8,9,27,104,normal
8:15:00 PM,16,Monday,109,17,9,17,152,normal
8:30:00 PM,16,Monday,71,6,20,33,130,high
8:45:00 PM,16,Monday,105,12,17,31,165,high
9:00:00 PM,16,Monday,72,18,18,25,133,normal
9:15:00 PM,16,Monday,107,8,6,25,146,normal
9:30:00 PM,16,Monday,86,13,14,20,133,normal
9:45:00 PM,16,Monday,5,2,1,35,43,normal
10:00:00 PM,16,Monday,13,2,1,40,56,normal
10:15:00 PM,16,Monday,13,0,2,33,48,normal
10:30:00 PM,16,Monday,14,2,2,27,45,normal
10:45:00 PM,16,Monday,7,2,1,27,37,normal
11:00:00 PM,16,Monday,14,2,2,28,46,normal
11:15:00 PM,16,Monday,7,1,0,29,37,normal
11:30:00 PM,16,Monday,9,1,0,36,46,normal
11:45:00 PM,16,Monday,7,1,0,27,35,normal
12:00:00 AM,17,Tuesday,9,2,1,26,38,normal
